spice_slug_a,spice_slug_b,affinity,cosine
anis-etoile,anis-vert,0.910689,0.281924
anis-etoile,basilic,0.522328,0.159306
anis-etoile,cannelle,0.464134,0.149427
anis-etoile,cardamome,0.707416,0.194885
anis-etoile,carvi,0.632249,0.178154
anis-etoile,clou-girofle,0.898161,0.271544
anis-etoile,coriandre,0.973934,0.442282
anis-etoile,cumin,0.578097,0.168171
anis-etoile,curcuma,0.774096,0.212975
anis-etoile,estragon,0.689432,0.190569
anis-etoile,fenouil,0.984643,0.507334
anis-etoile,gingembre,0.701960,0.193694
anis-etoile,laurier,0.549808,0.163392
anis-etoile,macis,0.768438,0.211088
anis-etoile,marjolaine,0.702364,0.193758
anis-etoile,muscade,0.537280,0.161460
anis-etoile,origan,0.519701,0.158787
anis-etoile,paprika-doux,0.387351,0.135846
anis-etoile,piment-cayenne,0.180440,0.098332
anis-etoile,piment-jamaique,0.671651,0.186943
anis-etoile,poivre-blanc,0.603960,0.172448
anis-etoile,poivre-sichuan,0.995353,0.635965
anis-etoile,poivre-noir,0.485553,0.153250
anis-etoile,romarin,0.721358,0.197800
anis-etoile,safran,0.641544,0.180238
anis-etoile,sauge,0.680339,0.188468
anis-etoile,thym,0.581532,0.168722
anis-etoile,basilic-thai,0.991513,0.580136
anis-etoile,cannelle-cassia,0.948474,0.337407
anis-etoile,coriandre-fraiche,0.081835,0.072479
anis-etoile,fenugrec,0.860982,0.246277
anis-etoile,nigelle,0.925035,0.295126
anis-etoile,cumin-noir,0.866842,0.249217
anis-etoile,galanga,0.974944,0.449613
anis-etoile,sumac,0.496464,0.155126
anis-etoile,vanille,0.229743,0.108304
anis-etoile,pavot,0.162659,0.094635
anis-etoile,sesame,0.740554,0.203108
anis-etoile,moutarde-jaune,0.041625,0.053527
anis-etoile,moutarde-brune,0.007072,0.018414
anis-etoile,aneth,0.716913,0.196966
anis-etoile,aneth-graines,0.150535,0.091400
anis-etoile,cerfeuil,0.336230,0.127212
anis-etoile,ciboulette,0.239038,0.109711
anis-etoile,persil,0.598505,0.171374
anis-etoile,menthe,0.506163,0.156873
anis-etoile,menthe-poivree,0.621338,0.175656
anis-etoile,menthe-verte,0.445949,0.146588
anis-etoile,citronnelle,0.956759,0.367010
anis-etoile,combava,0.831885,0.233048
anis-etoile,feuille-curry,0.892301,0.267003
anis-etoile,ajowan,0.210952,0.105146
anis-etoile,asafoetida,0.584765,0.169076
anis-etoile,genievre,0.965852,0.401976
anis-etoile,raifort,0.360679,0.130951
anis-etoile,wasabi,0.288947,0.119129
anis-etoile,piment-alep,0.387149,0.135843
anis-etoile,piment-ancho,0.619519,0.175352
anis-etoile,piment-habanero,0.768034,0.210962
anis-etoile,jalapeno,0.041018,0.052908
anis-etoile,piment-serrano,0.840776,0.236660
anis-etoile,piment-arbol,0.904829,0.277342
anis-etoile,piment-guajillo,0.833098,0.233266
anis-etoile,chipotle,0.878561,0.257667
anis-etoile,paprika-fume,0.471004,0.150660
anis-etoile,sarriette,0.576076,0.167969
anis-etoile,liveche,0.637503,0.179397
anis-etoile,oseille,0.118610,0.083255
anis-etoile,verveine,0.411194,0.140491
anis-etoile,epazote,0.207113,0.104725
anis-etoile,angelique,0.540311,0.161950
anis-etoile,maniguette,0.477470,0.151725
anis-etoile,amchur,0.781572,0.215348
anis-etoile,pollen-fenouil,0.845019,0.238197
anis-etoile,celeri-graines,0.496060,0.155077
anis-etoile,echalote,0.335623,0.126903
anis-etoile,ail,0.111942,0.081810
anis-etoile,oignon,0.142251,0.089299
anis-etoile,poivre-vert,0.404324,0.138807
anis-etoile,baies-roses,0.975753,0.451937
anis-etoile,file-sassafras,0.071530,0.068879
anis-etoile,reglisse,0.022025,0.036144
anis-etoile,shiso,0.209335,0.104994
anis-etoile,yuzu,0.204688,0.103607
anis-etoile,roucou,0.758133,0.208183
anis-etoile,tamarin,0.558699,0.165027
anis-etoile,pandan,0.364922,0.132122
anis-etoile,piment-poblano,0.694686,0.191937
anis-etoile,piment-anaheim,0.019398,0.034049
anis-etoile,piment-thai,0.593251,0.170383
anis-etoile,piment-scotch-bonnet,0.588200,0.169453
anis-etoile,sarriette-hiver,0.709436,0.195304
anis-etoile,melisse,0.614063,0.174395
anis-etoile,camomille,0.276419,0.116728
anis-etoile,sansho,0.374621,0.133750
anis-etoile,citron-noir,0.678117,0.188012
anis-etoile,culantro,0.422105,0.142011
anis-etoile,capre,0.238230,0.109645
anis-etoile,rose-petales,0.399475,0.137819
anis-vert,basilic,0.828248,0.231691
anis-vert,cannelle,0.766620,0.210476
anis-vert,cardamome,0.999596,0.787370
anis-vert,carvi,0.418468,0.141538
anis-vert,clou-girofle,0.993938,0.616094
anis-vert,coriandre,0.964437,0.394163
anis-vert,cumin,0.915538,0.285967
anis-vert,curcuma,0.943625,0.326034
anis-vert,estragon,0.651243,0.182859
anis-vert,fenouil,0.982017,0.487795
anis-vert,gingembre,0.918165,0.288754
anis-vert,laurier,0.805819,0.222051
anis-vert,macis,0.938169,0.317457
anis-vert,marjolaine,0.868256,0.249917
anis-vert,muscade,0.756719,0.207959
anis-vert,origan,0.874722,0.254359
anis-vert,paprika-doux,0.159628,0.093893
anis-vert,piment-cayenne,0.408769,0.139868
anis-vert,piment-jamaique,0.952920,0.353499
anis-vert,poivre-blanc,0.583350,0.169008
anis-vert,poivre-sichuan,0.929279,0.299647
anis-vert,poivre-noir,0.578501,0.168239
anis-vert,romarin,0.837139,0.234977
anis-vert,safran,0.943221,0.325570
anis-vert,sauge,0.836533,0.234767
anis-vert,thym,0.873712,0.253340
anis-vert,basilic-thai,0.946454,0.332203
anis-vert,cannelle-cassia,0.945444,0.328772
anis-vert,coriandre-fraiche,0.158618,0.093425
anis-vert,fenugrec,0.995959,0.644582
anis-vert,nigelle,0.936755,0.314613
anis-vert,cumin-noir,0.987270,0.529502
anis-vert,galanga,0.901798,0.274924
anis-vert,sumac,0.891897,0.266499
anis-vert,vanille,0.085674,0.073760
anis-vert,pavot,0.659123,0.184231
anis-vert,sesame,0.262679,0.114619
anis-vert,moutarde-jaune,0.126288,0.085453
anis-vert,moutarde-brune,0.033340,0.044584
anis-vert,aneth,0.826228,0.230665
anis-vert,aneth-graines,0.086078,0.073893
anis-vert,cerfeuil,0.795716,0.218917
anis-vert,ciboulette,0.376844,0.134293
anis-vert,persil,0.529400,0.160513
anis-vert,menthe,0.762174,0.209494
anis-vert,menthe-poivree,0.882603,0.259920
anis-vert,menthe-verte,0.781168,0.215060
anis-vert,citronnelle,0.863003,0.247467
anis-vert,combava,0.787432,0.216762
anis-vert,feuille-curry,0.997979,0.696411
anis-vert,ajowan,0.887452,0.263777
anis-vert,asafoetida,0.885633,0.261718
anis-vert,genievre,0.379875,0.134821
anis-vert,raifort,0.326329,0.125384
anis-vert,wasabi,0.270762,0.115645
anis-vert,piment-alep,0.673065,0.187187
anis-vert,piment-ancho,0.937159,0.315051
anis-vert,piment-habanero,0.949283,0.339735
anis-vert,jalapeno,0.259042,0.114152
